D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
123456|2000|Toyota|4runner|suv|Pink|0|5000.0
45678|2023|Jeep|Wrangler|car|teal|12007|3802.0
78263|2012|Toyota|Camry|car|White|5200|15303.0
26218|2005|Ford|F-150|Truck|Blue|45829|30473.0
8711|2011|Tesla|Model Y|car|Teal|627|30722.0
55282|2001|Ford|Mustang|car|Grey|0|8900.0
882289|1999|Chevrolet|Equinox|SUV|Gold|25729|15829.0
22883|2005|Subaru|Outback|Wagon|Red Wine|83921|5290.0
8217319|2019|BMW|3 Series|Car|Navy|920|28902.0
7821|2013|Jeep|Wrangler|car|Forest Green|289|12382.0
7239|2019|Tesla|Model X|car|Red|0|79322.0
